timestamp;gyro_x;gyro_y;gyro_z;accel_x;accel_y;accel_z;x_rotation;y_rotation
2019-04-19 01:24:53.109862;-1.8473282442748091;-0.8244274809160306;-2.267175572519084;-0.20458984375;-0.6298828125;-0.54345703125;-47.32691904201932;13.816214794966132;
2019-04-19 01:24:54.123384;-1.7557251908396947;-0.5419847328244275;-2.2595419847328246;-0.208251953125;-0.624267578125;-0.5361328125;-47.34459951985515;14.201878225592045;
2019-04-19 01:24:55.133298;-1.7633587786259541;-0.8396946564885496;-2.2595419847328246;-0.206787109375;-0.629150390625;-0.54296875;-47.27789315532137;13.972923129378914;
2019-04-19 01:24:56.143296;-1.984732824427481;-1.0610687022900764;-2.2519083969465647;-0.214599609375;-0.621337890625;-0.54931640625;-46.494210053521634;14.507576546810686;
2019-04-19 01:24:57.156736;-1.1603053435114503;-1.3206106870229009;-2.099236641221374;-0.212890625;-0.622314453125;-0.557373046875;-46.20630925256917;14.296309303923712;
2019-04-19 01:24:58.167603;-0.7709923664122137;3.6259541984732824;0.48854961832061067;-0.22607421875;-0.630126953125;-0.53076171875;-47.52479959320661;15.34449659305602;
2019-04-19 01:24:59.180632;1.3587786259541985;-2.9618320610687023;-9.709923664122137;-0.20068359375;-0.62890625;-0.55419921875;-46.85653666780493;13.463676418112396;
2019-04-19 01:25:00.189506;-0.9465648854961832;-0.8015267175572519;-0.19083969465648856;-0.1953125;-0.623291015625;-0.5537109375;-46.7103109360069;13.184720994528798;
2019-04-19 01:25:01.204090;-1.1068702290076335;-0.7251908396946565;-0.8473282442748091;-0.193603515625;-0.614501953125;-0.556396484375;-46.208196999876364;13.145650147389576;
2019-04-19 01:25:02.214022;-3.854961832061069;-0.5725190839694656;-2.3206106870229006;-0.188720703125;-0.6279296875;-0.564208984375;-46.54556445297629;12.601665092597269;
2019-04-19 01:25:03.223850;-3.053435114503817;5.709923664122138;-4.557251908396947;-0.197021484375;-0.61767578125;-0.56787109375;-45.780231747133705;13.214538910830102;
2019-04-19 01:25:04.233854;-0.5725190839694656;-0.8778625954198473;-0.15267175572519084;-0.192626953125;-0.62451171875;-0.554443359375;-46.77580859394455;12.98858345940514;
2019-04-19 01:25:05.243893;-1.83206106870229;-1.1450381679389312;-2.7938931297709924;-0.1943359375;-0.619873046875;-0.554931640625;-46.51273142168752;13.147549452668567;
2019-04-19 01:25:06.259292;-2.2213740458015265;-0.6870229007633588;-3.267175572519084;-0.177490234375;-0.64013671875;-0.55615234375;-47.63600905146495;11.821797031916708;
2019-04-19 01:25:07.269255;-0.9618320610687023;-0.8778625954198473;-1.1603053435114503;-0.19287109375;-0.619873046875;-0.5322265625;-47.596277665217094;13.2825822737544;
2019-04-19 01:25:08.279222;-1.4961832061068703;-0.5954198473282443;-0.0916030534351145;-0.18994140625;-0.62060546875;-0.555908203125;-46.571519272866105;12.842372203327484;
2019-04-19 01:25:09.289203;-1.5572519083969465;-0.7404580152671756;-1.7633587786259541;-0.1865234375;-0.61962890625;-0.560546875;-46.36603587236991;12.583977647404785;
2019-04-19 01:25:10.299197;-2.2748091603053435;-0.22900763358778625;-3.183206106870229;-0.184814453125;-0.61865234375;-0.560791015625;-46.3357013345451;12.480405817878875;
2019-04-19 01:25:11.313708;-0.6641221374045801;-0.8015267175572519;0.3816793893129771;-0.193115234375;-0.638916015625;-0.557373046875;-47.285226515857815;12.831135419472215;
2019-04-19 01:25:12.323733;-2.1068702290076335;-0.9312977099236641;-3.099236641221374;-0.202880859375;-0.628173828125;-0.5361328125;-47.618206710159996;13.802013947998356;
2019-04-19 01:25:13.333697;-1.6717557251908397;-0.3969465648854962;-1.5572519083969465;-0.21044921875;-0.624755859375;-0.55419921875;-46.502872589795935;14.14367351988399;
2019-04-19 01:25:14.343656;-1.5801526717557253;-0.8015267175572519;-1.7557251908396947;-0.20703125;-0.627197265625;-0.549560546875;-46.88330192829454;13.942804679512433;
2019-04-19 01:25:15.353641;-1.6564885496183206;-0.732824427480916;-2.015267175572519;-0.2060546875;-0.621826171875;-0.556396484375;-46.343575061512574;13.871422133115008;
2019-04-19 01:25:16.368332;-2.0229007633587788;-0.7786259541984732;-2.5419847328244276;-0.199951171875;-0.60986328125;-0.561767578125;-45.64468184304171;13.557876428840327;
2019-04-19 01:25:17.378315;-1.748091603053435;-0.6564885496183206;-2.2977099236641223;-0.2099609375;-0.640625;-0.5615234375;-46.89966690932862;13.845520533573714;
2019-04-19 01:25:18.388257;-1.8625954198473282;-0.9923664122137404;-2.4198473282442747;-0.209716796875;-0.620849609375;-0.548583984375;-46.59048605064771;14.204949146934927;
2019-04-19 01:25:19.398241;-1.7709923664122138;-0.8244274809160306;-2.183206106870229;-0.21044921875;-0.62060546875;-0.55810546875;-46.13630325941758;14.151697975431103;
2019-04-19 01:25:20.408244;-1.6946564885496183;-0.732824427480916;-2.2519083969465647;-0.21044921875;-0.626220703125;-0.551513671875;-46.69121769426133;14.154752027446747;
2019-04-19 01:25:21.423040;-3.9083969465648853;-1.015267175572519;-2.404580152671756;-0.206787109375;-0.62890625;-0.54931640625;-46.97639064994143;13.90896074639612;
2019-04-19 01:25:22.432896;-1.816793893129771;-0.8625954198473282;-2.3206106870229006;-0.210693359375;-0.62646484375;-0.550048828125;-46.7644900336143;14.18330008259007;
2019-04-19 01:25:23.442888;-1.8473282442748091;-1.0229007633587786;-2.4122137404580153;-0.208984375;-0.62841796875;-0.545654296875;-47.083192279705735;14.095885396386228;
2019-04-19 01:25:24.452886;-1.9312977099236641;-0.5648854961832062;-2.4656488549618323;-0.2138671875;-0.61083984375;-0.539794921875;-46.453000736250786;14.700727367241688;
2019-04-19 01:25:25.462887;-1.8625954198473282;-0.9923664122137404;-2.4122137404580153;-0.204833984375;-0.616943359375;-0.5439453125;-46.70706339498604;13.984476150585685;
2019-04-19 01:25:26.477674;-1.9389312977099236;-1.083969465648855;-2.3282442748091605;-0.20751953125;-0.611572265625;-0.544921875;-46.3653137665099;14.216424070739269;
2019-04-19 01:25:27.487669;-1.8625954198473282;-0.7633587786259542;-2.33587786259542;-0.205078125;-0.619873046875;-0.561767578125;-46.027488833472745;13.774181980633422;
2019-04-19 01:25:28.497715;-1.7404580152671756;-1.0;-2.3969465648854964;-0.21044921875;-0.624755859375;-0.55126953125;-46.63529263741565;14.175299897064765;
2019-04-19 01:25:29.507691;-1.8702290076335877;-0.6641221374045801;-2.1297709923664123;-0.203857421875;-0.636962890625;-0.57080078125;-46.42170135295853;13.406124404312667;
2019-04-19 01:25:30.517702;-1.6870229007633588;-0.7175572519083969;-2.213740458015267;-0.205322265625;-0.620849609375;-0.54052734375;-47.036619703684906;14.005283642455549;
2019-04-19 01:25:31.533166;-1.6946564885496183;-0.9465648854961832;-2.2213740458015265;-0.20947265625;-0.626953125;-0.555419921875;-46.564918246218724;14.041038776402907;
2019-04-19 01:25:32.542876;-1.8549618320610688;-0.5190839694656488;-2.5267175572519083;-0.2080078125;-0.619384765625;-0.55517578125;-46.25329192846026;14.04031885582658;
